week,location,value
2024-02-10,US,11650
2024-02-17,US,11158
2024-02-24,US,10896
2024-03-02,US,10838
2024-03-09,US,9442
2024-03-16,US,7341
2024-03-23,US,6047
2024-03-30,US,5583
2024-04-06,US,5075
2024-04-13,US,4081
2024-04-20,US,2947
2024-04-27,US,2421
2024-05-04,US,1488
2024-05-11,US,852
2024-05-18,US,681
2024-05-25,US,610
2024-06-01,US,590
2024-06-08,US,511
2024-06-15,US,517
2024-06-22,US,441
2024-06-29,US,356
2024-07-06,US,341
2024-07-13,US,367
2024-07-20,US,324
2024-07-27,US,273
2024-08-03,US,275
2024-08-10,US,275
2024-08-17,US,273
2024-08-24,US,274
2024-08-31,US,259
2024-09-07,US,223
2024-09-14,US,319
2024-09-21,US,293
2024-09-28,US,223
2024-10-05,US,286
2024-10-12,US,295
2024-10-19,US,556
2024-10-26,US,1087
2024-11-02,US,1016
2024-11-09,US,2177
2024-11-16,US,2613
2024-11-23,US,3279
2024-11-30,US,4437
2024-12-07,US,6518
2024-12-14,US,9596
2024-12-21,US,16128
2024-12-28,US,28678
2025-01-04,US,39666
2025-01-11,US,31879
2025-01-18,US,33764
2025-01-25,US,41502
2025-02-01,US,52694
2025-02-08,US,55739
2025-02-15,US,47983
2025-02-22,US,39444
2025-03-01,US,32003
2025-03-08,US,24755
2025-03-15,US,18881
2025-03-22,US,14049
2025-03-29,US,9981
2025-04-05,US,6991
2025-04-12,US,5067
2025-04-19,US,3973
2025-04-26,US,3315
2025-05-03,US,2545
2025-05-10,US,2184
2025-05-17,US,1899
2025-05-24,US,1744
2025-05-31,US,1851
2025-06-07,US,1534
2025-06-14,US,1519
2025-06-21,US,1364
2025-06-28,US,1161
2025-07-05,US,1008
2025-07-12,US,970
2025-07-19,US,860
2025-07-26,US,891
2025-08-02,US,799
2025-08-09,US,762
2025-08-16,US,774
2025-08-23,US,801
2025-08-30,US,909
2025-09-06,US,980
2025-09-13,US,1012
2025-09-20,US,904
2025-09-27,US,1025
2025-10-04,US,976
2025-10-11,US,1016
2025-10-18,US,1119
2025-10-25,US,1199
2025-11-01,US,1358
2025-11-08,US,1787
2025-11-15,US,2487
2025-11-22,US,3584
2025-11-29,US,5220
2025-12-06,US,7449
2025-12-13,US,11156
2025-12-20,US,21083
2025-12-27,US,37602
2026-01-03,US,42634
2026-01-10,US,29933
2026-01-17,US,19754
2026-01-24,US,16819
2026-01-31,US,15751
2026-02-07,US,16121
2026-02-14,US,16436
2026-02-21,US,14731
2026-02-28,US,11159
2026-03-07,US,9598
2026-03-14,US,7793
2026-03-21,US,6088
2026-03-28,US,3306
2026-04-04,US,2901
2026-04-11,US,2235
2026-04-18,US,1941
2026-04-25,US,1877
2026-05-02,US,1649
2026-05-09,US,1473
2026-05-16,US,1306
2026-05-23,US,1250
2026-05-30,US,1060
2026-06-06,US,1011
2026-06-13,US,832
2026-06-20,US,703
